0.89,0.896,0.896,0.902,0.902,0.896,0.902,0.884,0.876,0.53,0.892,0.89,0.89,0.884,0.89,0.89,0.896,0.888,0.894,0.898
0.894,0.898,0.894,0.908,0.912,0.902,0.894,0.88,0.878,0.534,0.888,0.892,0.894,0.892,0.896,0.894,0.888,0.888,0.892,0.898
0.894,0.896,0.896,0.904,0.912,0.906,0.894,0.882,0.882,0.534,0.886,0.89,0.892,0.89,0.894,0.896,0.898,0.888,0.896,0.898
0.906,0.892,0.892,0.908,0.906,0.892,0.9,0.888,0.884,0.52,0.886,0.89,0.888,0.894,0.892,0.894,0.9,0.892,0.896,0.9
0.894,0.9,0.89,0.904,0.912,0.904,0.89,0.888,0.886,0.522,0.894,0.892,0.892,0.892,0.892,0.89,0.894,0.888,0.89,0.894
0.896,0.906,0.898,0.906,0.912,0.9,0.892,0.886,0.878,0.562,0.892,0.89,0.894,0.9,0.894,0.894,0.896,0.89,0.892,0.896
0.892,0.894,0.902,0.906,0.908,0.894,0.896,0.89,0.88,0.53,0.896,0.89,0.894,0.894,0.894,0.892,0.896,0.894,0.894,0.892
0.9,0.89,0.896,0.914,0.906,0.9,0.892,0.878,0.874,0.516,0.886,0.89,0.89,0.9,0.892,0.892,0.89,0.89,0.89,0.894
0.892,0.9,0.89,0.904,0.916,0.9,0.894,0.884,0.874,0.516,0.89,0.892,0.892,0.896,0.896,0.896,0.894,0.888,0.89,0.898
0.896,0.894,0.89,0.906,0.914,0.904,0.9,0.884,0.886,0.532,0.874,0.886,0.888,0.89,0.89,0.892,0.894,0.886,0.892,0.9
0.89,0.894,0.896,0.902,0.908,0.894,0.9,0.888,0.88,0.534,0.892,0.892,0.886,0.894,0.898,0.89,0.894,0.888,0.892,0.894
0.896,0.892,0.888,0.906,0.912,0.89,0.894,0.888,0.882,0.53,0.892,0.886,0.886,0.896,0.888,0.894,0.888,0.888,0.894,0.894
0.89,0.896,0.894,0.908,0.896,0.894,0.892,0.876,0.884,0.532,0.886,0.892,0.892,0.892,0.89,0.894,0.896,0.888,0.892,0.892
0.898,0.894,0.888,0.91,0.908,0.896,0.886,0.886,0.892,0.532,0.882,0.89,0.89,0.896,0.892,0.888,0.898,0.89,0.892,0.896
0.896,0.9,0.888,0.912,0.908,0.906,0.894,0.88,0.882,0.554,0.882,0.89,0.888,0.89,0.894,0.892,0.902,0.888,0.892,0.894
0.896,0.898,0.888,0.906,0.908,0.9,0.898,0.886,0.878,0.534,0.888,0.888,0.89,0.898,0.896,0.894,0.902,0.892,0.896,0.9
0.89,0.89,0.896,0.908,0.906,0.906,0.894,0.88,0.89,0.538,0.894,0.89,0.894,0.892,0.89,0.894,0.89,0.886,0.892,0.896
0.894,0.898,0.896,0.902,0.902,0.902,0.9,0.884,0.882,0.532,0.888,0.892,0.89,0.896,0.894,0.894,0.894,0.886,0.894,0.896
0.896,0.896,0.89,0.91,0.902,0.892,0.894,0.886,0.88,0.516,0.89,0.888,0.886,0.888,0.894,0.892,0.896,0.888,0.896,0.9
0.894,0.896,0.888,0.906,0.908,0.884,0.89,0.878,0.878,0.536,0.886,0.89,0.89,0.888,0.888,0.894,0.894,0.892,0.892,0.9
